'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:35.335',0.164,0.144,-0.018,-0.154,0.091,0.063,-0.205,0.011,0.037,-0.051,-0.089,-0.144,0.088,-0.065,0.076
'0:35.336',0.190,0.146,-0.043,-0.169,0.117,0.052,-0.211,0.011,0.038,-0.056,-0.099,-0.148,0.091,-0.059,0.077
'0:35.337',0.208,0.142,-0.065,-0.176,0.137,0.038,-0.216,0.009,0.036,-0.062,-0.105,-0.158,0.092,-0.075,0.075
'0:35.338',0.194,0.134,-0.059,-0.164,0.127,0.037,-0.210,0.018,0.043,-0.059,-0.103,-0.158,0.090,-0.099,0.077
'0:35.339',0.196,0.132,-0.064,-0.165,0.130,0.034,-0.203,0.029,0.052,-0.055,-0.100,-0.153,0.093,-0.107,0.078
'0:35.340',0.198,0.127,-0.070,-0.163,0.134,0.029,-0.203,0.034,0.057,-0.053,-0.102,-0.158,0.093,-0.107,0.077
'0:35.341',0.186,0.120,-0.066,-0.153,0.127,0.027,-0.202,0.037,0.061,-0.052,-0.105,-0.158,0.093,-0.104,0.079
'0:35.342',0.187,0.119,-0.067,-0.153,0.128,0.026,-0.200,0.046,0.069,-0.048,-0.104,-0.159,0.096,-0.096,0.080
'0:35.343',0.194,0.118,-0.075,-0.157,0.135,0.021,-0.196,0.055,0.076,-0.043,-0.105,-0.159,0.097,-0.097,0.080
'0:35.344',0.210,0.113,-0.098,-0.162,0.154,0.007,-0.197,0.056,0.077,-0.049,-0.108,-0.164,0.095,-0.105,0.077
'0:35.345',0.218,0.106,-0.112,-0.163,0.166,-0.003,-0.199,0.059,0.080,-0.051,-0.115,-0.168,0.094,-0.110,0.078
'0:35.346',0.218,0.100,-0.117,-0.160,0.168,-0.009,-0.198,0.062,0.084,-0.051,-0.121,-0.169,0.095,-0.117,0.080
'0:35.347',0.224,0.096,-0.128,-0.160,0.176,-0.015,-0.202,0.063,0.083,-0.054,-0.127,-0.172,0.096,-0.119,0.082
'0:35.348',0.231,0.103,-0.127,-0.167,0.178,-0.011,-0.196,0.073,0.092,-0.049,-0.125,-0.170,0.098,-0.117,0.081
'0:35.349',0.219,0.107,-0.112,-0.164,0.166,-0.002,-0.192,0.083,0.102,-0.042,-0.120,-0.169,0.100,-0.116,0.079
'0:35.350',0.216,0.107,-0.110,-0.162,0.163,-0.002,-0.191,0.086,0.106,-0.042,-0.122,-0.172,0.100,-0.117,0.079
'0:35.351',0.229,0.104,-0.123,-0.167,0.176,-0.009,-0.189,0.091,0.111,-0.041,-0.127,-0.172,0.100,-0.125,0.080
'0:35.352',0.223,0.101,-0.121,-0.162,0.172,-0.010,-0.187,0.097,0.117,-0.037,-0.128,-0.171,0.096,-0.127,0.077
'0:35.353',0.213,0.098,-0.115,-0.156,0.164,-0.009,-0.187,0.100,0.121,-0.037,-0.130,-0.171,0.095,-0.122,0.075
'0:35.354',0.206,0.097,-0.108,-0.152,0.158,-0.005,-0.182,0.108,0.129,-0.032,-0.126,-0.169,0.100,-0.122,0.077
'0:35.355',0.214,0.098,-0.116,-0.157,0.165,-0.009,-0.180,0.111,0.135,-0.030,-0.127,-0.173,0.099,-0.125,0.075
'0:35.356',0.230,0.098,-0.132,-0.164,0.181,-0.017,-0.184,0.112,0.134,-0.034,-0.133,-0.178,0.100,-0.124,0.075
'0:35.357',0.215,0.097,-0.117,-0.156,0.167,-0.010,-0.175,0.122,0.144,-0.027,-0.127,-0.174,0.102,-0.131,0.074
'0:35.358',0.213,0.093,-0.120,-0.153,0.167,-0.013,-0.174,0.127,0.151,-0.024,-0.126,-0.174,0.101,-0.142,0.075
'0:35.359',0.231,0.092,-0.138,-0.162,0.184,-0.022,-0.173,0.131,0.153,-0.025,-0.129,-0.176,0.104,-0.135,0.075
'0:35.360',0.230,0.092,-0.137,-0.161,0.183,-0.022,-0.166,0.139,0.160,-0.021,-0.126,-0.175,0.105,-0.134,0.074
'0:35.361',0.231,0.089,-0.141,-0.160,0.186,-0.026,-0.167,0.141,0.161,-0.021,-0.126,-0.175,0.105,-0.136,0.074
'0:35.362',0.239,0.089,-0.149,-0.165,0.194,-0.029,-0.168,0.142,0.163,-0.020,-0.128,-0.178,0.106,-0.139,0.070
'0:35.363',0.247,0.092,-0.154,-0.170,0.201,-0.031,-0.166,0.149,0.172,-0.015,-0.126,-0.177,0.108,-0.145,0.068
'0:35.364',0.252,0.092,-0.159,-0.172,0.205,-0.033,-0.163,0.155,0.179,-0.012,-0.124,-0.176,0.108,-0.149,0.067
'0:35.365',0.247,0.086,-0.161,-0.167,0.204,-0.037,-0.157,0.155,0.175,-0.015,-0.124,-0.179,0.106,-0.150,0.069
'0:35.366',0.242,0.081,-0.160,-0.162,0.201,-0.040,-0.156,0.158,0.179,-0.014,-0.126,-0.180,0.109,-0.146,0.071
'0:35.367',0.245,0.081,-0.164,-0.164,0.204,-0.042,-0.155,0.165,0.186,-0.011,-0.124,-0.178,0.107,-0.147,0.068
'0:35.368',0.252,0.086,-0.166,-0.169,0.209,-0.040,-0.152,0.170,0.191,-0.008,-0.120,-0.176,0.107,-0.136,0.067
'0:35.369',0.241,0.086,-0.155,-0.164,0.199,-0.035,-0.151,0.170,0.191,-0.008,-0.122,-0.176,0.108,-0.128,0.067
'0:35.370',0.235,0.085,-0.150,-0.160,0.193,-0.033,-0.153,0.169,0.190,-0.009,-0.124,-0.179,0.108,-0.129,0.065
'0:35.371',0.235,0.085,-0.150,-0.161,0.194,-0.033,-0.152,0.173,0.196,-0.006,-0.121,-0.178,0.108,-0.137,0.061
'0:35.372',0.235,0.088,-0.147,-0.163,0.192,-0.029,-0.144,0.176,0.197,-0.006,-0.121,-0.178,0.107,-0.141,0.061
'0:35.373',0.237,0.090,-0.146,-0.164,0.192,-0.028,-0.143,0.180,0.201,-0.007,-0.121,-0.178,0.110,-0.139,0.061
'0:35.374',0.229,0.082,-0.146,-0.155,0.188,-0.033,-0.145,0.181,0.202,-0.006,-0.123,-0.181,0.111,-0.138,0.060
'0:35.375',0.221,0.079,-0.142,-0.150,0.181,-0.032,-0.147,0.179,0.200,-0.007,-0.124,-0.185,0.106,-0.128,0.059
'0:35.376',0.226,0.086,-0.141,-0.156,0.183,-0.028,-0.144,0.184,0.202,-0.007,-0.124,-0.182,0.106,-0.129,0.056
'0:35.377',0.232,0.091,-0.141,-0.162,0.186,-0.025,-0.137,0.190,0.204,-0.005,-0.121,-0.181,0.107,-0.134,0.056
'0:35.378',0.229,0.093,-0.136,-0.162,0.182,-0.021,-0.136,0.191,0.208,-0.003,-0.118,-0.180,0.105,-0.134,0.059
'0:35.379',0.240,0.100,-0.140,-0.170,0.191,-0.021,-0.131,0.197,0.212,0.001,-0.116,-0.179,0.105,-0.130,0.055
'0:35.380',0.241,0.096,-0.144,-0.169,0.193,-0.025,-0.128,0.197,0.212,0.002,-0.115,-0.178,0.105,-0.126,0.053
'0:35.381',0.235,0.088,-0.147,-0.162,0.192,-0.029,-0.132,0.195,0.208,-0.002,-0.119,-0.182,0.107,-0.129,0.052
'0:35.382',0.242,0.091,-0.151,-0.167,0.197,-0.029,-0.131,0.198,0.210,-0.001,-0.119,-0.180,0.109,-0.132,0.051
'0:35.383',0.259,0.108,-0.149,-0.183,0.204,-0.021,-0.126,0.201,0.213,0.003,-0.115,-0.174,0.109,-0.133,0.050
'0:35.384',0.283,0.129,-0.154,-0.206,0.219,-0.013,-0.117,0.208,0.218,0.010,-0.106,-0.168,0.108,-0.132,0.049
'0:35.385',0.281,0.124,-0.155,-0.203,0.218,-0.015,-0.118,0.208,0.220,0.009,-0.107,-0.170,0.108,-0.123,0.048
'0:35.386',0.234,0.086,-0.147,-0.161,0.191,-0.030,-0.129,0.196,0.209,-0.002,-0.117,-0.183,0.106,-0.122,0.044
'0:35.387',0.215,0.071,-0.143,-0.143,0.179,-0.036,-0.129,0.194,0.205,-0.004,-0.118,-0.186,0.104,-0.124,0.046
'0:35.388',0.239,0.099,-0.140,-0.170,0.190,-0.020,-0.118,0.204,0.215,0.005,-0.107,-0.176,0.106,-0.120,0.043
'0:35.389',0.244,0.106,-0.138,-0.175,0.192,-0.016,-0.120,0.203,0.214,0.004,-0.110,-0.175,0.108,-0.115,0.043
'0:35.390',0.250,0.117,-0.133,-0.183,0.192,-0.008,-0.114,0.207,0.218,0.008,-0.103,-0.171,0.110,-0.106,0.044
'0:35.391',0.260,0.126,-0.134,-0.193,0.198,-0.004,-0.107,0.212,0.226,0.015,-0.096,-0.166,0.108,-0.113,0.036
'0:35.392',0.238,0.105,-0.133,-0.172,0.186,-0.014,-0.115,0.204,0.215,0.007,-0.102,-0.172,0.108,-0.110,0.036
'0:35.393',0.197,0.099,-0.098,-0.148,0.147,0.001,-0.104,0.210,0.219,0.013,-0.092,-0.165,0.107,-0.108,0.036
'0:35.394',0.191,0.099,-0.091,-0.144,0.141,0.004,-0.105,0.208,0.218,0.013,-0.093,-0.163,0.105,-0.108,0.033
'0:35.395',0.205,0.105,-0.100,-0.155,0.152,0.003,-0.107,0.205,0.213,0.008,-0.096,-0.166,0.106,-0.103,0.032
'0:35.396',0.215,0.125,-0.089,-0.171,0.153,0.018,-0.097,0.212,0.220,0.017,-0.086,-0.156,0.111,-0.101,0.031
'0:35.397',0.205,0.124,-0.081,-0.165,0.143,0.022,-0.093,0.210,0.218,0.017,-0.085,-0.152,0.112,-0.095,0.029
'0:35.398',0.159,0.113,-0.045,-0.136,0.102,0.034,-0.082,0.215,0.223,0.025,-0.075,-0.145,0.108,-0.096,0.029
'0:35.399',0.163,0.121,-0.041,-0.142,0.102,0.040,-0.075,0.222,0.228,0.030,-0.068,-0.140,0.106,-0.096,0.026
'0:35.400',0.199,0.106,-0.092,-0.153,0.146,0.007,-0.095,0.199,0.205,0.009,-0.091,-0.166,0.102,-0.104,0.021
'0:35.401',0.210,0.093,-0.116,-0.152,0.164,-0.011,-0.105,0.186,0.191,-0.005,-0.102,-0.181,0.100,-0.107,0.019
'0:35.402',0.218,0.113,-0.105,-0.166,0.162,0.004,-0.096,0.196,0.198,0.004,-0.092,-0.171,0.101,-0.098,0.018
'0:35.403',0.223,0.115,-0.108,-0.169,0.166,0.004,-0.095,0.195,0.194,0.001,-0.096,-0.169,0.101,-0.098,0.018
'0:35.404',0.205,0.112,-0.092,-0.159,0.149,0.009,-0.088,0.201,0.197,0.004,-0.093,-0.162,0.099,-0.097,0.018
'0:35.405',0.232,0.122,-0.108,-0.177,0.170,0.007,-0.092,0.197,0.193,-0.002,-0.101,-0.163,0.100,-0.086,0.019
'0:35.406',0.232,0.117,-0.114,-0.174,0.172,0.002,-0.092,0.191,0.185,-0.009,-0.107,-0.163,0.102,-0.088,0.019
'0:35.407',0.185,0.111,-0.074,-0.148,0.130,0.018,-0.076,0.201,0.196,0.004,-0.094,-0.149,0.100,-0.089,0.018
'0:35.408',0.206,0.114,-0.091,-0.160,0.149,0.011,-0.086,0.193,0.189,-0.001,-0.098,-0.153,0.101,-0.081,0.013
'0:35.409',0.198,0.117,-0.080,-0.158,0.139,0.019,-0.081,0.192,0.184,0.000,-0.093,-0.150,0.101,-0.072,0.013
'0:35.410',0.199,0.131,-0.068,-0.165,0.134,0.032,-0.073,0.193,0.184,0.003,-0.087,-0.145,0.099,-0.071,0.013
'0:35.411',0.221,0.144,-0.076,-0.182,0.148,0.034,-0.073,0.191,0.185,0.004,-0.084,-0.144,0.099,-0.069,0.011
'0:35.412',0.192,0.130,-0.061,-0.161,0.127,0.034,-0.072,0.189,0.182,0.003,-0.083,-0.143,0.099,-0.067,0.009
'0:35.413',0.157,0.105,-0.052,-0.132,0.104,0.026,-0.078,0.178,0.171,-0.005,-0.089,-0.149,0.098,-0.063,0.007
'0:35.414',0.164,0.121,-0.042,-0.142,0.103,0.040,-0.073,0.179,0.172,-0.003,-0.087,-0.145,0.097,-0.051,0.006
'0:35.415',0.177,0.130,-0.046,-0.154,0.112,0.042,-0.075,0.174,0.167,-0.006,-0.087,-0.144,0.097,-0.059,0.005
'0:35.416',0.167,0.122,-0.044,-0.145,0.106,0.039,-0.075,0.170,0.160,-0.009,-0.086,-0.147,0.097,-0.061,0.004
'0:35.417',0.174,0.136,-0.038,-0.155,0.106,0.049,-0.079,0.168,0.159,-0.009,-0.087,-0.144,0.097,-0.052,-0.001
'0:35.418',0.157,0.127,-0.030,-0.142,0.094,0.049,-0.076,0.163,0.156,-0.011,-0.088,-0.145,0.094,-0.052,0.000
'0:35.419',0.158,0.127,-0.030,-0.143,0.095,0.049,-0.060,0.164,0.154,-0.008,-0.084,-0.142,0.092,-0.048,-0.004
'0:35.420',0.170,0.141,-0.029,-0.156,0.100,0.056,-0.059,0.166,0.155,-0.003,-0.076,-0.136,0.091,-0.043,-0.006
'0:35.421',0.168,0.144,-0.022,-0.156,0.095,0.061,-0.060,0.163,0.153,-0.006,-0.077,-0.134,0.091,-0.040,-0.004
'0:35.422',0.181,0.149,-0.032,-0.165,0.106,0.059,-0.062,0.156,0.145,-0.012,-0.081,-0.137,0.092,-0.032,-0.004
'0:35.423',0.179,0.147,-0.031,-0.164,0.105,0.058,-0.060,0.153,0.142,-0.013,-0.082,-0.138,0.091,-0.025,-0.004
'0:35.424',0.183,0.158,-0.025,-0.171,0.104,0.067,-0.052,0.157,0.147,-0.009,-0.074,-0.127,0.092,-0.022,-0.006
'0:35.425',0.190,0.162,-0.028,-0.176,0.109,0.068,-0.053,0.153,0.143,-0.007,-0.070,-0.126,0.092,-0.022,-0.007
'0:35.426',0.189,0.162,-0.026,-0.175,0.108,0.068,-0.052,0.148,0.138,-0.011,-0.072,-0.128,0.092,-0.029,-0.009
'0:35.427',0.181,0.160,-0.021,-0.171,0.102,0.070,-0.054,0.144,0.134,-0.013,-0.071,-0.128,0.092,-0.031,-0.011
'0:35.428',0.177,0.161,-0.015,-0.170,0.097,0.073,-0.056,0.140,0.130,-0.013,-0.071,-0.129,0.089,-0.029,-0.015
'0:35.429',0.165,0.156,-0.008,-0.161,0.086,0.074,-0.055,0.133,0.122,-0.018,-0.073,-0.133,0.087,-0.027,-0.016
'0:35.430',0.145,0.141,-0.004,-0.143,0.074,0.069,-0.060,0.121,0.111,-0.026,-0.079,-0.134,0.088,-0.026,-0.015
'0:35.431',0.147,0.146,-0.001,-0.147,0.074,0.073,-0.059,0.120,0.112,-0.024,-0.074,-0.129,0.090,-0.029,-0.016
'0:35.432',0.148,0.153,0.006,-0.151,0.071,0.080,-0.056,0.120,0.112,-0.021,-0.071,-0.129,0.088,-0.032,-0.018
'0:35.433',0.165,0.180,0.015,-0.172,0.075,0.098,-0.048,0.122,0.114,-0.018,-0.062,-0.121,0.086,-0.021,-0.021
'0:35.434',0.169,0.188,0.019,-0.179,0.075,0.104,-0.045,0.120,0.114,-0.017,-0.058,-0.118,0.086,-0.007,-0.021
'0:35.435',0.146,0.169,0.023,-0.158,0.061,0.096,-0.049,0.110,0.103,-0.022,-0.064,-0.123,0.086,-0.010,-0.020
'0:35.436',0.145,0.172,0.028,-0.159,0.059,0.101,-0.047,0.108,0.101,-0.022,-0.060,-0.120,0.085,-0.015,-0.022
'0:35.437',0.151,0.182,0.032,-0.167,0.060,0.107,-0.049,0.105,0.097,-0.023,-0.059,-0.119,0.085,-0.009,-0.023
'0:35.438',0.154,0.191,0.037,-0.172,0.059,0.114,-0.048,0.103,0.096,-0.021,-0.054,-0.118,0.082,-0.009,-0.024
'0:35.439',0.151,0.187,0.036,-0.169,0.058,0.112,-0.047,0.099,0.093,-0.023,-0.053,-0.117,0.082,-0.013,-0.024
'0:35.440',0.162,0.193,0.031,-0.177,0.066,0.112,-0.045,0.098,0.091,-0.022,-0.052,-0.113,0.084,-0.009,-0.025
'0:35.441',0.161,0.193,0.033,-0.177,0.065,0.113,-0.046,0.091,0.088,-0.024,-0.052,-0.115,0.082,-0.001,-0.028
'0:35.442',0.132,0.166,0.034,-0.149,0.049,0.100,-0.058,0.074,0.072,-0.036,-0.063,-0.125,0.082,0.001,-0.029
'0:35.443',0.139,0.172,0.033,-0.155,0.053,0.102,-0.059,0.074,0.073,-0.034,-0.059,-0.121,0.084,-0.004,-0.030
'0:35.444',0.150,0.185,0.035,-0.168,0.058,0.110,-0.053,0.074,0.071,-0.032,-0.054,-0.118,0.083,-0.001,-0.029
'0:35.445',0.151,0.185,0.035,-0.169,0.059,0.110,-0.051,0.070,0.069,-0.034,-0.053,-0.116,0.081,0.002,-0.029
'0:35.446',0.140,0.178,0.040,-0.159,0.050,0.109,-0.054,0.064,0.067,-0.035,-0.055,-0.115,0.080,0.005,-0.030
'0:35.447',0.131,0.173,0.043,-0.152,0.044,0.108,-0.053,0.060,0.061,-0.036,-0.054,-0.114,0.079,0.004,-0.030
'0:35.448',0.157,0.198,0.041,-0.177,0.059,0.119,-0.046,0.066,0.067,-0.027,-0.044,-0.105,0.078,0.007,-0.035
'0:35.449',0.159,0.206,0.049,-0.182,0.055,0.128,-0.048,0.064,0.064,-0.028,-0.044,-0.104,0.080,0.015,-0.033
'0:35.450',0.138,0.192,0.054,-0.165,0.042,0.122,-0.054,0.054,0.054,-0.036,-0.050,-0.108,0.082,0.013,-0.033
'0:35.451',0.127,0.189,0.062,-0.158,0.033,0.126,-0.056,0.047,0.045,-0.039,-0.050,-0.106,0.082,0.014,-0.033
'0:35.452',0.123,0.196,0.072,-0.160,0.026,0.135,-0.051,0.046,0.049,-0.035,-0.045,-0.102,0.081,0.018,-0.032
'0:35.453',0.123,0.201,0.079,-0.163,0.022,0.140,-0.051,0.045,0.051,-0.034,-0.045,-0.100,0.082,0.025,-0.034
'0:35.454',0.116,0.198,0.083,-0.157,0.017,0.140,-0.053,0.040,0.042,-0.038,-0.046,-0.102,0.080,0.030,-0.033
'0:35.455',0.115,0.200,0.086,-0.158,0.015,0.142,-0.056,0.035,0.040,-0.039,-0.044,-0.102,0.080,0.028,-0.035
'0:35.456',0.114,0.204,0.091,-0.159,0.011,0.147,-0.055,0.033,0.038,-0.040,-0.044,-0.099,0.081,0.029,-0.036
'0:35.457',0.121,0.211,0.090,-0.166,0.015,0.150,-0.052,0.030,0.035,-0.039,-0.043,-0.098,0.083,0.035,-0.038
'0:35.458',0.119,0.213,0.095,-0.167,0.013,0.154,-0.053,0.027,0.032,-0.038,-0.040,-0.097,0.080,0.041,-0.036
'0:35.459',0.096,0.198,0.102,-0.147,-0.003,0.149,-0.053,0.025,0.029,-0.038,-0.038,-0.098,0.074,0.039,-0.036
'0:35.460',0.117,0.207,0.090,-0.163,0.014,0.149,-0.054,0.025,0.028,-0.037,-0.036,-0.099,0.073,0.035,-0.041
'0:35.461',0.132,0.215,0.085,-0.173,0.024,0.150,-0.061,0.016,0.020,-0.044,-0.042,-0.100,0.075,0.038,-0.040
'0:35.462',0.105,0.194,0.088,-0.150,0.009,0.141,-0.068,0.006,0.009,-0.052,-0.049,-0.104,0.076,0.035,-0.042
'0:35.463',0.098,0.185,0.088,-0.142,0.004,0.137,-0.070,0.003,0.006,-0.052,-0.050,-0.109,0.074,0.037,-0.043
'0:35.464',0.104,0.190,0.086,-0.147,0.009,0.138,-0.068,0.001,0.007,-0.051,-0.049,-0.106,0.074,0.045,-0.042
'0:35.465',0.115,0.193,0.079,-0.154,0.018,0.136,-0.069,-0.002,0.004,-0.052,-0.051,-0.103,0.074,0.042,-0.043
'0:35.466',0.108,0.204,0.097,-0.157,0.006,0.150,-0.062,0.005,0.009,-0.044,-0.038,-0.094,0.074,0.038,-0.042
'0:35.467',0.113,0.229,0.117,-0.172,-0.002,0.173,-0.047,0.017,0.023,-0.030,-0.021,-0.080,0.074,0.042,-0.042
'0:35.468',0.105,0.236,0.132,-0.171,-0.013,0.184,-0.043,0.020,0.029,-0.024,-0.013,-0.073,0.074,0.044,-0.045
'0:35.469',0.080,0.220,0.141,-0.150,-0.030,0.180,-0.051,0.011,0.021,-0.029,-0.017,-0.075,0.075,0.042,-0.045
'0:35.470',0.102,0.203,0.101,-0.153,0.001,0.152,-0.075,-0.015,-0.005,-0.052,-0.038,-0.095,0.076,0.051,-0.044
'0:35.471',0.092,0.196,0.103,-0.144,-0.005,0.149,-0.077,-0.018,-0.007,-0.053,-0.037,-0.093,0.077,0.050,-0.048
'0:35.472',0.070,0.205,0.135,-0.138,-0.032,0.170,-0.066,-0.009,0.004,-0.040,-0.025,-0.081,0.076,0.046,-0.047
'0:35.473',0.116,0.221,0.105,-0.169,0.005,0.164,-0.076,-0.019,-0.005,-0.049,-0.030,-0.090,0.075,0.056,-0.048
'0:35.474',0.124,0.229,0.104,-0.177,0.010,0.167,-0.081,-0.021,-0.004,-0.047,-0.028,-0.089,0.076,0.062,-0.048
'0:35.475',0.097,0.228,0.131,-0.163,-0.017,0.179,-0.072,-0.018,-0.001,-0.043,-0.022,-0.082,0.074,0.069,-0.045
'0:35.476',0.090,0.236,0.147,-0.164,-0.028,0.192,-0.065,-0.013,0.003,-0.036,-0.015,-0.073,0.072,0.065,-0.048
'0:35.477',0.070,0.239,0.171,-0.155,-0.050,0.205,-0.060,-0.006,0.009,-0.032,-0.009,-0.065,0.072,0.063,-0.049
'0:35.478',0.091,0.230,0.139,-0.161,-0.024,0.184,-0.072,-0.023,-0.009,-0.050,-0.025,-0.081,0.071,0.059,-0.045
'0:35.479',0.119,0.226,0.106,-0.173,0.007,0.166,-0.085,-0.035,-0.025,-0.062,-0.037,-0.090,0.070,0.061,-0.044
'0:35.480',0.105,0.223,0.117,-0.165,-0.005,0.170,-0.079,-0.031,-0.018,-0.057,-0.033,-0.084,0.069,0.068,-0.045
'0:35.481',0.114,0.225,0.112,-0.170,0.001,0.169,-0.082,-0.033,-0.020,-0.059,-0.033,-0.087,0.070,0.071,-0.045
'0:35.482',0.114,0.228,0.115,-0.171,-0.001,0.172,-0.082,-0.034,-0.019,-0.054,-0.031,-0.085,0.070,0.072,-0.045
'0:35.483',0.119,0.232,0.113,-0.176,0.004,0.172,-0.077,-0.031,-0.014,-0.051,-0.026,-0.081,0.069,0.071,-0.045
'0:35.484',0.117,0.231,0.115,-0.174,0.002,0.172,-0.076,-0.030,-0.013,-0.050,-0.021,-0.076,0.070,0.075,-0.046
'0:35.485',0.101,0.223,0.122,-0.162,-0.011,0.172,-0.076,-0.034,-0.013,-0.049,-0.021,-0.075,0.069,0.072,-0.049
'0:35.486',0.117,0.228,0.111,-0.172,0.004,0.170,-0.080,-0.038,-0.018,-0.052,-0.024,-0.079,0.068,0.062,-0.049
'0:35.487',0.120,0.228,0.108,-0.174,0.005,0.169,-0.078,-0.038,-0.018,-0.051,-0.021,-0.077,0.068,0.056,-0.049
'0:35.488',0.116,0.225,0.110,-0.171,0.003,0.167,-0.079,-0.038,-0.019,-0.051,-0.022,-0.078,0.068,0.066,-0.050
'0:35.489',0.110,0.225,0.116,-0.168,-0.003,0.170,-0.083,-0.042,-0.022,-0.053,-0.022,-0.080,0.068,0.069,-0.051
'0:35.490',0.106,0.228,0.122,-0.167,-0.008,0.175,-0.082,-0.044,-0.022,-0.052,-0.019,-0.076,0.069,0.062,-0.051
'0:35.491',0.105,0.230,0.125,-0.168,-0.010,0.177,-0.080,-0.040,-0.018,-0.049,-0.018,-0.075,0.068,0.065,-0.052
'0:35.492',0.090,0.227,0.137,-0.159,-0.024,0.181,-0.076,-0.036,-0.015,-0.045,-0.013,-0.074,0.065,0.065,-0.053
'0:35.493',0.090,0.227,0.137,-0.159,-0.023,0.181,-0.079,-0.040,-0.018,-0.047,-0.013,-0.076,0.062,0.064,-0.052
'0:35.494',0.092,0.231,0.140,-0.162,-0.024,0.185,-0.079,-0.041,-0.021,-0.050,-0.015,-0.075,0.063,0.070,-0.052
'0:35.495',0.091,0.234,0.143,-0.163,-0.025,0.189,-0.079,-0.041,-0.019,-0.047,-0.013,-0.072,0.065,0.069,-0.050
'0:35.496',0.103,0.234,0.131,-0.169,-0.013,0.182,-0.083,-0.045,-0.023,-0.051,-0.019,-0.080,0.061,0.070,-0.051
'0:35.497',0.102,0.234,0.133,-0.168,-0.015,0.183,-0.083,-0.044,-0.024,-0.051,-0.019,-0.081,0.061,0.072,-0.053
'0:35.498',0.092,0.232,0.140,-0.162,-0.024,0.185,-0.083,-0.046,-0.024,-0.050,-0.016,-0.079,0.062,0.066,-0.050
'0:35.499',0.089,0.227,0.138,-0.158,-0.025,0.182,-0.083,-0.046,-0.024,-0.049,-0.017,-0.078,0.061,0.069,-0.049
'0:35.500',0.089,0.229,0.140,-0.160,-0.025,0.184,-0.077,-0.041,-0.020,-0.043,-0.011,-0.072,0.061,0.070,-0.051
'0:35.501',0.110,0.240,0.131,-0.175,-0.011,0.186,-0.077,-0.041,-0.020,-0.043,-0.010,-0.071,0.062,0.069,-0.051
'0:35.502',0.111,0.237,0.127,-0.174,-0.008,0.182,-0.080,-0.045,-0.022,-0.046,-0.013,-0.073,0.062,0.069,-0.053
'0:35.503',0.104,0.235,0.132,-0.170,-0.013,0.183,-0.079,-0.046,-0.022,-0.046,-0.013,-0.070,0.062,0.075,-0.052
'0:35.504',0.100,0.230,0.131,-0.166,-0.015,0.180,-0.080,-0.047,-0.025,-0.050,-0.015,-0.071,0.064,0.078,-0.051
'0:35.505',0.100,0.223,0.122,-0.162,-0.011,0.172,-0.083,-0.051,-0.028,-0.051,-0.017,-0.075,0.063,0.067,-0.052
'0:35.506',0.105,0.227,0.121,-0.166,-0.008,0.174,-0.086,-0.052,-0.029,-0.054,-0.017,-0.075,0.064,0.067,-0.050
'0:35.507',0.089,0.215,0.127,-0.152,-0.018,0.172,-0.086,-0.054,-0.032,-0.055,-0.018,-0.077,0.062,0.072,-0.050
'0:35.508',0.097,0.225,0.130,-0.161,-0.016,0.177,-0.082,-0.052,-0.031,-0.051,-0.015,-0.073,0.060,0.082,-0.053
'0:35.509',0.098,0.234,0.136,-0.166,-0.019,0.185,-0.083,-0.052,-0.030,-0.051,-0.013,-0.071,0.064,0.086,-0.051
'0:35.510',0.099,0.232,0.134,-0.166,-0.017,0.182,-0.088,-0.056,-0.033,-0.054,-0.018,-0.075,0.068,0.088,-0.050
'0:35.511',0.115,0.240,0.127,-0.178,-0.006,0.183,-0.088,-0.057,-0.033,-0.053,-0.016,-0.074,0.067,0.083,-0.051
'0:35.512',0.108,0.235,0.128,-0.172,-0.009,0.181,-0.087,-0.057,-0.034,-0.055,-0.015,-0.073,0.067,0.080,-0.051
'0:35.513',0.091,0.238,0.147,-0.165,-0.028,0.193,-0.081,-0.050,-0.027,-0.048,-0.010,-0.066,0.065,0.086,-0.050
'0:35.514',0.088,0.248,0.160,-0.169,-0.035,0.204,-0.078,-0.049,-0.025,-0.044,-0.006,-0.061,0.064,0.083,-0.051
'0:35.515',0.092,0.246,0.154,-0.170,-0.030,0.201,-0.082,-0.051,-0.030,-0.048,-0.008,-0.063,0.064,0.083,-0.052
'0:35.516',0.088,0.240,0.152,-0.165,-0.032,0.197,-0.085,-0.051,-0.030,-0.049,-0.010,-0.066,0.065,0.084,-0.053
'0:35.517',0.095,0.245,0.151,-0.170,-0.028,0.199,-0.086,-0.054,-0.033,-0.050,-0.011,-0.065,0.065,0.083,-0.052
'0:35.518',0.085,0.249,0.166,-0.167,-0.041,0.207,-0.079,-0.049,-0.029,-0.046,-0.006,-0.061,0.064,0.081,-0.050
'0:35.519',0.057,0.242,0.185,-0.149,-0.064,0.214,-0.071,-0.042,-0.025,-0.040,-0.001,-0.054,0.062,0.082,-0.049
'0:35.520',0.082,0.238,0.157,-0.160,-0.037,0.198,-0.080,-0.051,-0.034,-0.047,-0.008,-0.061,0.061,0.083,-0.048
'0:35.521',0.110,0.246,0.137,-0.178,-0.013,0.192,-0.087,-0.057,-0.040,-0.053,-0.014,-0.067,0.062,0.085,-0.051
